,station1,station2,line,time,distance(miles)
0,11,163,1,1,0.25785481594214277
1,11,212,1,2,0.4544490120424679
2,49,87,1,1,0.11114751733045138
3,49,197,1,2,0.4267443156546505
4,82,163,1,2,0.2734073924417827
5,82,193,1,3,0.450734071853611
6,84,148,1,3,0.5915768690780879
7,87,279,1,2,0.43248762989312595
8,113,246,1,2,0.9523730345139813
9,113,298,1,2,0.48512386912015737
10,114,140,1,2,1.1062523231567127
11,137,206,1,3,0.9085653300482037
12,137,298,1,3,0.9910149556774746
13,140,237,1,2,0.8667606464105871
14,143,159,1,2,0.5072294333827462
15,143,206,1,2,0.468960091215354
16,148,279,1,1,0.3331960600762058
17,159,278,1,1,0.45615500908814394
18,185,237,1,2,0.5880431931746817
19,185,281,1,2,0.7673849690284866
20,192,197,1,2,0.47676186545923677
21,192,212,1,2,0.6199900588250575
22,193,278,1,2,0.6564396441218908
23,246,281,1,3,1.0355247402871053
24,13,156,2,2,0.41208115016410646
25,13,250,2,2,0.3844509325371354
26,16,91,2,2,0.7260340357256154
27,16,173,2,2,0.6923692624735016
28,24,156,2,3,1.3375753216151813
29,24,164,2,2,0.9433801841549696
30,28,162,2,1,0.39747546720968135
31,28,192,2,1,0.34391112456145956
32,37,158,2,3,1.0748003582479984
33,37,301,2,3,1.4635570097531838
34,48,126,2,1,0.38985575407879874
35,48,250,2,2,0.6512123858098158
36,51,103,2,2,0.7844188896279736
37,51,215,2,2,1.3553522395170998
38,68,158,2,2,1.2358884218256767
39,68,256,2,3,1.9924916433115982
40,72,286,2,3,0.9143643844211258
41,76,181,2,2,0.7114891236491893
42,76,296,2,3,1.0627474554398986
43,88,256,2,2,1.5853261913895775
44,91,109,2,2,0.49163654324785033
45,98,173,2,3,1.0145784868918628
46,98,211,2,2,0.8969163744469673
47,103,109,2,3,0.7055654739199627
48,105,177,2,2,1.0749255701588343
49,105,196,2,2,1.0393490086347041
50,112,181,2,3,1.5114948552063188
51,112,196,2,2,1.3581092572795685
52,126,259,2,2,0.47669008056411366
53,127,186,2,2,0.42063540865839727
54,127,226,2,1,0.5813641906821139
55,149,162,2,3,0.7398540215997075
56,149,208,2,1,0.5265092258460021
57,153,154,2,3,0.996670020767633
58,153,247,2,2,1.0367546814746607
59,154,230,2,2,1.034699797345803
60,154,275,2,2,1.0850788558890776
61,164,247,2,4,1.6973369413033383
62,177,239,2,3,1.4221485783676615
63,181,286,2,2,0.9921864940945343
64,186,208,2,2,0.39702889148643666
65,192,259,2,2,0.462886549077935
66,211,275,2,2,0.7170937149545675
67,215,301,2,3,0.8141627426520752
68,221,239,2,1,0.5558376992942795
69,221,294,2,3,1.3263032852623997
70,226,296,2,3,0.5576651026981011
71,230,241,2,2,0.7940161465265279
72,241,301,2,2,1.093657620711122
73,2,156,3,2,0.37916147159767044
74,2,263,3,4,0.3142783376861257
75,11,83,3,3,0.5765059236633674
76,11,104,3,3,0.5730900349617465
77,14,92,3,1,0.3179972335790339
78,14,167,3,2,0.4184409092424184
79,18,186,3,2,0.4216042942683675
80,18,193,3,2,0.5794857229969134
81,25,161,3,1,0.3912730372368312
82,25,255,3,2,0.4767456334193432
83,44,161,3,1,0.1667085148223363
84,44,166,3,2,0.17953255791203387
85,83,193,3,3,0.41267698255568874
86,87,255,3,2,0.43524003005019374
87,87,285,3,2,0.4615373709336066
88,90,104,3,2,0.37573843304243254
89,90,145,3,2,0.6164263754647222
90,92,145,3,4,1.0757138727057727
91,99,122,3,4,0.6046006950115772
92,99,236,3,1,0.39215578118233557
93,122,186,3,3,0.6140150640572412
94,156,167,3,2,0.2762547936963234
95,166,263,3,2,0.42250768412206124
96,229,236,3,2,0.7528987041005207
97,229,273,3,2,0.5808917618707189
98,248,273,3,2,0.5213963467748749
99,248,285,3,2,0.3652567949728268
100,3,263,4,2,0.4231349372107333
101,3,295,4,2,0.5623021577464388
102,15,78,4,4,1.2540525274255228
103,15,269,4,2,0.8793604391635019
104,17,110,4,1,0.5269106615950154
105,17,293,4,2,0.3184294686932756
106,18,186,4,2,0.4216042942683675
107,18,193,4,2,0.5794857229969134
108,21,67,4,3,0.8600150176310632
109,21,269,4,2,1.1063815838855218
110,25,161,4,1,0.3912730372368312
111,25,255,4,2,0.4767456334193432
112,33,36,4,2,0.5686493329330848
113,33,164,4,1,0.390376254416307
114,36,289,4,2,0.7985105458281555
115,44,161,4,1,0.1667085148223363
116,44,166,4,2,0.17953255791203387
117,52,1,4,2,0.7746367227327567
118,52,265,4,2,0.5641806339876303
119,66,67,4,4,0.818630146941598
120,66,85,4,3,1.4301917668552369
121,72,73,4,4,0.6786029798242855
122,73,1,4,2,0.6125532838414149
123,74,99,4,3,0.6426433358082042
124,74,122,4,3,0.6482164708644511
125,74,138,4,2,0.7183816201963984
126,74,287,4,2,0.3423891759209022
127,74,293,4,1,0.4055636976844334
128,78,270,4,2,0.8055691298519415
129,80,205,4,2,0.670177360677576
130,80,231,4,2,0.9326404871649838
131,83,193,4,3,0.41267698255568874
132,85,129,4,2,0.9369906228004018
133,87,255,4,2,0.43524003005019374
134,87,285,4,2,0.4615373709336066
135,96,195,4,2,0.4390961654846016
136,96,287,4,1,0.46968469037589095
137,99,236,4,1,0.39215578118233557
138,108,141,4,3,1.0829076989431896
139,108,265,4,3,0.9239148558543179
140,110,209,4,2,0.4661087364126767
141,122,186,4,3,0.6140150640572412
142,129,268,4,2,0.7443419258286973
143,141,213,4,3,1.1773906774664329
144,164,244,4,2,0.6235669205454724
145,166,263,4,2,0.42250768412206124
146,195,205,4,3,0.5940145783477992
147,200,270,4,2,0.7822574455058745
148,200,289,4,2,0.5296117657896127
149,209,242,4,2,0.4334018375015188
150,229,236,4,2,0.7528987041005207
151,229,273,4,2,0.5808917618707189
152,231,300,4,3,0.8299421828302147
153,242,265,4,1,0.3783427233551282
154,244,295,4,3,0.6379094554511829
155,248,273,4,2,0.5213963467748749
156,248,285,4,2,0.3652567949728268
157,267,268,4,3,0.7189953436139265
158,299,300,4,3,0.9430751137149024
159,4,70,13,2,0.8219576389929001
160,4,201,13,2,0.2775792786216156
161,13,225,13,2,1.4051671921727964
162,19,97,13,2,0.5699074254609499
163,20,65,13,2,0.3870084116609387
164,20,217,13,2,0.3658624216877576
165,27,79,13,2,0.21619436114534882
166,27,201,13,2,0.46003238530863944
167,32,70,13,2,0.37654666022173466
168,32,204,13,2,0.5669496201921999
169,42,120,13,2,0.12692839540434167
170,42,292,13,2,0.13369608642181402
171,43,79,13,2,0.5787078269443785
172,43,219,13,2,0.5748670783924587
173,61,171,13,2,0.37977306968036095
174,61,238,13,2,0.3999923548822254
175,63,203,13,2,0.2582063084697548
176,63,219,13,2,0.4091756049999164
177,64,106,13,2,0.39091383403326857
178,64,135,13,2,0.30455867873139186
179,65,97,13,2,0.3353105449789059
180,69,86,13,2,0.371399376585615
181,69,106,13,2,0.4039249457811947
182,86,152,13,2,0.28412685616354993
183,120,238,13,2,0.2070429622835413
184,135,171,13,2,0.2856521278201483
185,155,225,13,2,0.7059302726512614
186,155,284,13,2,0.5908551899726634
187,201,284,13,2,0.4187782116345506
188,201,292,13,2,0.13768586277605852
189,203,217,13,2,0.5578277497246177
190,204,247,13,2,0.6538967892524076
191,225,262,13,2,0.7900311807353194
192,284,292,13,2,0.32518015919898746
193,41,216,5,1,0.2171364255521407
194,41,253,5,2,0.3537013580677086
195,174,253,5,4,1.31725843899686
196,175,253,5,4,1.2583644090064758
197,216,276,5,1,0.2683866214993446
198,225,276,5,1,0.5110069514895826
199,225,295,5,2,0.5766888990989303
200,228,295,5,2,0.4711863248963785
201,3,156,6,4,0.44850503782408996
202,3,295,6,2,0.5623021577464388
203,11,83,6,3,0.5765059236633674
204,11,104,6,3,0.5730900349617465
205,14,92,6,1,0.3179972335790339
206,14,167,6,2,0.4184409092424184
207,15,78,6,4,1.2540525274255228
208,33,36,6,2,0.5686493329330848
209,33,164,6,1,0.390376254416307
210,36,289,6,2,0.7985105458281555
211,78,270,6,2,0.8055691298519415
212,83,193,6,4,0.41267698255568874
213,90,104,6,2,0.37573843304243254
214,90,145,6,2,0.6164263754647222
215,92,145,6,4,1.0757138727057727
216,101,110,6,2,0.5703326299836071
217,101,227,6,1,0.276314629722568
218,147,150,6,1,0.36043814381845757
219,147,283,6,2,0.48883006550889524
220,150,227,6,2,0.6873815558785795
221,156,167,6,2,0.2762547936963234
222,164,244,6,2,0.6235669205454724
223,193,218,6,1,0.5917985364949445
224,200,270,6,2,0.7822574455058745
225,200,289,6,2,0.5296117657896127
226,218,283,6,2,0.5795058809433004
227,244,295,6,3,0.6379094554511829
228,11,28,7,2,0.6676990103255461
229,11,249,7,4,1.1067751955680578
230,23,41,7,2,0.5806468580037379
231,23,157,7,3,1.0981531825601698
232,28,107,7,2,0.5904187369998237
233,41,42,7,3,1.3464204660470895
234,42,183,7,3,1.1121935587450456
235,43,183,7,3,0.9977045497816943
236,43,289,7,3,0.9730654358795673
237,45,207,7,2,1.0088505160717003
238,45,243,7,2,0.87297520462276
239,71,172,7,2,0.5206568953696068
240,71,297,7,2,0.7633502224330982
241,94,254,7,2,0.392650905224904
242,94,290,7,1,0.44273875268527485
243,107,285,7,3,0.8450556953467108
244,142,290,7,2,0.6055737245136552
245,142,297,7,2,0.735757281431936
246,144,207,7,2,0.7367897588347556
247,144,282,7,4,1.4573660703078224
248,157,233,7,2,0.8584629614933273
249,172,282,7,4,1.408346141992845
250,233,279,7,1,0.43034434137738975
251,247,289,7,3,0.9851242672479359
252,249,254,7,1,0.5869472602918379
253,279,285,7,2,0.5097299512827523
254,2,156,8,2,0.37916147159767044
255,6,46,8,4,2.0086722109460684
256,11,94,8,6,1.969207767506565
257,11,104,8,3,0.5730900349617465
258,14,92,8,1,0.3179972335790339
259,14,167,8,2,0.4184409092424184
260,46,50,8,8,3.3486406118780767
261,46,53,8,4,2.0558063966458513
262,53,214,8,4,2.153586587923647
263,62,168,8,4,1.2775442673646913
264,62,280,8,3,1.2325536669051687
265,75,210,8,2,1.1016173532461586
266,75,222,8,2,0.7030656416836333
267,90,104,8,2,0.37573843304243254
268,90,145,8,2,0.6164263754647222
269,92,145,8,4,1.0757138727057727
270,94,282,8,7,4.404802560369303
271,115,178,8,2,0.7833806287335896
272,115,184,8,3,1.1740018377116097
273,115,291,8,2,0.7166756115074517
274,125,134,8,2,0.6518364719978602
275,125,271,8,3,1.3366076466437675
276,134,220,8,3,1.1118810647017083
277,156,167,8,2,0.2762547936963234
278,168,179,8,3,1.309241581027
279,168,214,8,4,1.9259604610140781
280,178,202,8,2,1.0813552240756177
281,179,180,8,2,0.9739528626507061
282,180,199,8,2,1.3436151447766589
283,184,199,8,3,0.9459047601341755
284,202,282,8,3,0.9000512261417926
285,210,291,8,3,0.8290195701716218
286,220,222,8,2,0.395458854013933
287,7,145,9,2,0.7791544498312535
288,7,188,9,3,0.8929820162558948
289,8,124,9,3,0.9674972005322691
290,8,264,9,2,0.6005919036968367
291,12,56,9,2,0.6905396438065218
292,12,257,9,1,0.576459117219664
293,13,157,9,2,0.5672007766233487
294,13,167,9,3,0.36593969360689593
295,22,47,9,2,0.6233898849491532
296,22,111,9,2,0.7390955403377459
297,29,84,9,1,0.5315928110788946
298,29,157,9,2,0.4420623392653451
299,34,100,9,3,0.8855963799950202
300,34,119,9,2,0.6839084125178928
301,38,58,9,2,0.7806629280135902
302,38,81,9,3,0.8859155173882223
303,40,47,9,2,0.588029592272073
304,40,89,9,3,0.8502672755766606
305,40,139,9,2,0.8006797580989036
306,40,170,9,1,0.38371231354644975
307,49,87,9,1,0.11114751733045138
308,49,151,9,2,0.2706703684070302
309,54,55,9,2,0.42367942045277995
310,54,56,9,2,0.751899862553108
311,55,245,9,1,0.5908733141255659
312,58,119,9,3,1.3577421984169165
313,59,240,9,2,0.6331317940943613
314,59,258,9,2,0.779917876718468
315,77,93,9,4,1.5397861413694642
316,77,124,9,2,1.0616580253301067
317,84,136,9,2,0.46467302913989905
318,87,279,9,2,0.43248762989312595
319,89,145,9,2,0.461582229363403
320,89,170,9,2,0.4666295198624817
321,89,277,9,1,0.3148983123664751
322,93,165,9,3,0.8782476853349265
323,93,288,9,2,0.6103826950492506
324,100,111,9,4,1.2797146930037697
325,102,259,9,1,0.3186637489797997
326,102,277,9,2,0.33069670987200733
327,121,261,9,3,1.5330417701213725
328,136,191,9,2,0.5576926909994905
329,136,279,9,3,1.1185219745047137
330,139,264,9,2,0.4313588150292211
331,151,259,9,1,0.38004421844371816
332,167,188,9,1,0.5345735821156633
333,169,240,9,4,0.9199149287637511
334,191,245,9,3,0.7901121011737565
335,257,258,9,2,0.6907806636035151
336,261,302,9,3,0.8937925691675552
337,288,302,9,1,0.5914196683014017
338,1,73,10,2,0.6125532838414149
339,1,234,10,4,1.1706525609007512
340,1,265,10,3,1.2143263190108031
341,5,194,10,3,1.15917429508805
342,5,252,10,2,0.9709968729490565
343,9,31,10,3,0.7447697986932325
344,9,232,10,3,1.1126023899104305
345,10,95,10,2,0.38751003241910026
346,10,128,10,1,0.5194514306150755
347,17,74,10,3,0.7211087043444931
348,17,110,10,2,0.5269106615950154
349,30,176,10,2,0.5366715921410817
350,30,190,10,3,1.5304718238225268
351,31,303,10,2,0.911799731914826
352,39,128,10,2,0.3928662446474619
353,39,145,10,5,1.213628375142455
354,57,187,10,4,0.8134084423191068
355,60,126,10,1,0.361486960700674
356,60,151,10,1,0.19714657366880098
357,73,182,10,3,0.5113861648869387
358,74,99,10,2,0.6426433358082042
359,75,210,10,2,1.1016173532461586
360,75,222,10,2,0.7030656416836333
361,95,160,10,2,0.6666919845239381
362,99,236,10,1,0.39215578118233557
363,107,133,10,2,0.5072519196101903
364,107,197,10,1,0.4270821622986628
365,110,265,10,2,1.2766229199911192
366,116,117,10,3,1.3130489314957507
367,116,118,10,3,1.1779559270098297
368,116,132,10,4,1.661717062447712
369,117,118,10,5,0.8204248257267258
370,125,134,10,2,0.6518364719978602
371,125,271,10,3,1.3366076466437675
372,126,223,10,2,0.4303895428195981
373,130,131,10,2,0.4558001081009603
374,130,132,10,2,0.8299112577596086
375,131,190,10,2,0.5811407525923726
376,133,146,10,2,0.35367927597594556
377,134,220,10,3,1.1118810647017083
378,145,223,10,2,0.5391691377214503
379,146,236,10,3,0.7603427939331922
380,151,197,10,2,0.2818458733652394
381,160,266,10,3,1.3592642760886848
382,176,234,10,1,0.3205100561485266
383,182,194,10,2,0.6850525558197776
384,187,232,10,3,1.0756916322664831
385,210,235,10,3,1.1098813481427037
386,220,222,10,2,0.395458854013933
387,235,251,10,2,0.8516515377457629
388,251,252,10,3,0.9980197671625929
389,266,303,10,2,0.5726343163760652
390,26,260,11,2,0.7663453630296135
391,26,274,11,2,0.9860824727676155
392,35,245,11,2,0.7569781070510492
393,89,145,11,2,0.461582229363403
394,89,277,11,1,0.3148983123664751
395,95,123,11,2,1.2611978810611186
396,95,224,11,4,1.8394090371636693
397,107,192,11,2,0.5757916617987757
398,107,273,11,2,0.7089800453221498
399,123,145,11,4,1.3507284680534875
400,192,277,11,2,0.6828529710846928
401,198,272,11,1,0.4124214414836806
402,198,273,11,3,0.6950574609474037
403,224,260,11,3,0.7834572796084017
404,245,272,11,3,0.9579434070852142
405,13,279,12,4,1.2916276890586194
406,304,305,14,,2.176476311410774
407,305,63,14,,2.212753897751255
408,63,42,14,,2.1063008390015545
409,42,295,14,,1.993394684578933
410,295,156,14,,0.9132492557008355
411,156,92,14,,1.0031277565133123
412,92,259,14,,1.134926628416825
413,259,28,14,,0.8063876716143278
414,28,193,14,,1.1245135787672047
415,193,314,14,,3.9706193155865894
416,314,315,14,,
417,315,316,14,,
418,316,317,14,,0.735800127114909
419,317,318,14,,1.7684387116253657
420,318,319,14,,1.828191805564991
421,319,320,14,,2.2755552072163576
422,320,321,14,,1.478936156921336
423,321,322,14,,1.525344083358078
424,322,323,14,,2.136639308974782
425,323,324,14,,2.485367440568939
426,324,325,14,,1.5147738892220162
427,325,326,14,,1.794392017190205
428,326,327,14,,6.7400200001544945
429,327,328,14,,4.81065560543261
430,319,330,14,,2.606460584928182
431,330,331,14,,
432,330,333,14,,
