,latitude,longitude,name,zone,total_lines,rail
1,51.5028,-0.2801,Acton Town,3.0,2.0,0.0
2,51.5143,-0.0755,Aldgate,1.0,2.0,0.0
3,51.5154,-0.0726,Aldgate East,1.0,2.0,0.0
4,51.5107,-0.013,All Saints,2.0,1.0,0.0
5,51.5407,-0.2997,Alperton,4.0,1.0,0.0
6,51.6736,-0.607,Amersham,10.0,1.0,1.0
7,51.5322,-0.1058,Angel,1.0,1.0,0.0
8,51.5653,-0.1353,Archway,2.5,1.0,0.0
9,51.6164,-0.1331,Arnos Grove,4.0,1.0,0.0
10,51.5586,-0.1059,Arsenal,2.0,1.0,0.0
11,51.5226,-0.1571,Baker Street,1.0,5.0,0.0
12,51.4431,-0.1525,Balham,3.0,1.0,1.0
13,51.5133,-0.0886,Bank,1.0,4.0,0.0
14,51.5204,-0.0979,Barbican,1.0,3.0,0.0
15,51.5396,0.081,Barking,4.0,2.0,1.0
16,51.5856,0.0887,Barkingside,5.0,1.0,0.0
17,51.4905,-0.2139,Barons Court,2.0,2.0,0.0
18,51.5121,-0.1879,Bayswater,1.0,2.0,0.0
19,51.5148,0.0613,Beckton,3.0,1.0,0.0
20,51.5087,0.055,Beckton Park,3.0,1.0,0.0
21,51.5403,0.127,Becontree,5.0,1.0,0.0
22,51.5504,-0.1642,Belsize Park,2.0,1.0,0.0
23,51.4979,-0.0637,Bermondsey,2.0,1.0,0.0
24,51.527,-0.0549,Bethnal Green,2.0,1.0,0.0
25,51.512,-0.1031,Blackfriars,1.0,2.0,0.0
26,51.5867,-0.0417,Blackhorse Road,3.0,1.0,1.0
27,51.5079,-0.0066,Blackwall,2.0,1.0,0.0
28,51.5142,-0.1494,Bond Street,1.0,2.0,0.0
29,51.5011,-0.0943,Borough,1.0,1.0,0.0
30,51.4956,-0.325,Boston Manor,4.0,1.0,0.0
31,51.6071,-0.1243,Bounds Green,3.5,1.0,0.0
32,51.5273,-0.0208,Bow Church,2.0,3.0,0.0
33,51.5269,-0.0247,Bow Road,2.0,2.0,0.0
34,51.5766,-0.2136,Brent Cross,3.0,1.0,0.0
35,51.4627,-0.1145,Brixton,2.0,1.0,1.0
36,51.5248,-0.0119,Bromley-By-Bow,2.5,2.0,0.0
37,51.6266,0.0471,Buckhurst Hill,5.0,1.0,0.0
38,51.6028,-0.2641,Burnt Oak,4.0,1.0,0.0
39,51.5481,-0.1188,Caledonian Road,2.0,1.0,0.0
40,51.5392,-0.1426,Camden Town,2.0,1.0,0.0
41,51.4982,-0.0502,Canada Water,2.0,2.0,0.0
42,51.5051,-0.0209,Canary Wharf,2.0,2.0,0.0
43,51.5147,0.0082,Canning Town,3.0,2.0,0.0
44,51.5113,-0.0904,Cannon Street,1.0,2.0,0.0
45,51.6078,-0.2947,Canons Park,5.0,1.0,0.0
46,51.6679,-0.561,Chalfont & Latimer,9.0,1.0,1.0
47,51.5441,-0.1538,Chalk Farm,2.0,1.0,0.0
48,51.5185,-0.1111,Chancery Lane,1.0,1.0,0.0
49,51.508,-0.1247,Charing Cross,1.0,2.0,1.0
50,51.7052,-0.611,Chesham,10.0,1.0,0.0
51,51.6177,0.0755,Chigwell,5.0,1.0,0.0
52,51.4946,-0.2678,Chiswick Park,3.0,1.0,0.0
53,51.6543,-0.5183,Chorleywood,8.0,1.0,0.0
54,51.4618,-0.1384,Clapham Common,2.0,1.0,0.0
55,51.4649,-0.1299,Clapham North,2.0,1.0,0.0
56,51.4527,-0.148,Clapham South,2.5,1.0,0.0
57,51.6517,-0.1496,Cockfosters,5.0,1.0,0.0
58,51.5955,-0.2502,Colindale,4.0,1.0,0.0
59,51.418,-0.1778,Colliers Wood,3.0,1.0,0.0
60,51.5129,-0.1243,Covent Garden,1.0,1.0,0.0
61,51.4957,-0.0144,Crossharbour & London Arena,2.0,1.0,0.0
62,51.647,-0.4412,Croxley,7.0,1.0,0.0
63,51.5095,0.0276,Custom House,3.0,1.0,0.0
64,51.4827,-0.0096,Cutty Sark,2.5,1.0,0.0
65,51.5085,0.064,Cyprus,3.0,1.0,0.0
66,51.5443,0.1655,Dagenham East,5.0,1.0,0.0
67,51.5417,0.1469,Dagenham Heathway,5.0,1.0,0.0
68,51.6455,0.0838,Debden,6.0,1.0,0.0
69,51.474,-0.0216,Deptford Bridge,2.5,1.0,0.0
70,51.5223,-0.0173,Devons Road,2.0,1.0,0.0
71,51.552,-0.2387,Dollis Hill,3.0,1.0,0.0
72,51.5152,-0.3017,Ealing Broadway,3.0,2.0,1.0
73,51.5101,-0.2882,Ealing Common,3.0,2.0,0.0
74,51.492,-0.1973,Earl's Court,1.5,2.0,0.0
75,51.5765,-0.397,Eastcote,5.0,2.0,0.0
76,51.5168,-0.2474,East Acton,2.0,1.0,0.0
77,51.5874,-0.165,East Finchley,3.0,1.0,0.0
78,51.5394,0.0518,East Ham,3.5,2.0,0.0
79,51.5093,-0.0021,East India,2.5,1.0,0.0
80,51.4586,-0.2112,East Putney,2.5,1.0,0.0
81,51.6137,-0.275,Edgware,5.0,1.0,0.0
82,51.5199,-0.1679,Edgware Road (B),1.0,1.0,0.0
83,51.5203,-0.17,Edgware Road (C),1.0,3.0,0.0
84,51.4943,-0.1001,Elephant & Castle,1.5,2.0,1.0
85,51.5496,0.1977,Elm Park,6.0,1.0,0.0
86,51.4693,-0.0174,Elverson Road,2.5,1.0,0.0
87,51.5074,-0.1223,Embankment,1.0,4.0,0.0
88,51.6937,0.1139,Epping,6.0,1.0,0.0
89,51.5282,-0.1337,Euston,1.0,2.0,1.0
90,51.526,-0.1359,Euston Square,1.0,3.0,0.0
91,51.596,0.0912,Fairlop,5.0,1.0,0.0
92,51.5203,-0.1053,Farringdon,1.0,3.0,1.0
93,51.6012,-0.1932,Finchley Central,4.0,1.0,0.0
94,51.5472,-0.1803,Finchley Road,2.0,2.0,0.0
95,51.5642,-0.1065,Finsbury Park,2.0,1.0,1.0
96,51.4804,-0.195,Fulham Broadway,2.0,1.0,0.0
97,51.5096,0.0716,Gallions Reach,3.0,1.0,0.0
98,51.5765,0.0663,Gants Hill,4.0,1.0,0.0
99,51.4945,-0.1829,Gloucester Road,1.0,3.0,0.0
100,51.5724,-0.1941,Golders Green,3.0,1.0,0.0
101,51.5018,-0.2267,Goldhawk Road,2.0,1.0,0.0
102,51.5205,-0.1347,Goodge Street,1.0,1.0,0.0
103,51.6132,0.0923,Grange Hill,5.0,1.0,0.0
104,51.5238,-0.1439,Great Portland Street,1.0,3.0,0.0
105,51.5423,-0.3456,Greenford,4.0,1.0,1.0
106,51.4781,-0.0149,Greenwich,2.5,1.0,1.0
107,51.5067,-0.1428,Green Park,1.0,3.0,0.0
108,51.4915,-0.2754,Gunnersbury,3.0,1.0,0.0
109,51.603,0.0933,Hainault,5.0,1.0,0.0
110,51.4936,-0.2251,Hammersmith,2.0,3.0,0.0
111,51.5568,-0.178,Hampstead,2.5,1.0,0.0
112,51.5302,-0.2933,Hanger Lane,3.0,1.0,0.0
113,51.5362,-0.2575,Harlesden,3.0,1.0,0.0
114,51.5925,-0.3351,Harrow & Wealdston,5.0,1.0,1.0
115,51.5793,-0.3366,Harrow-on-the-Hill,5.0,1.0,1.0
116,51.4669,-0.4227,Hatton Cross,5.5,1.0,0.0
117,51.4713,-0.4524,"Heathrow Terminals 1, 2 & 3",6.0,1.0,0.0
118,51.4598,-0.4476,Heathrow Terminal 4,6.0,1.0,0.0
119,51.5829,-0.2259,Hendon Central,3.5,1.0,0.0
120,51.5033,-0.0215,Heron Quays,2.0,1.0,0.0
121,51.6503,-0.1943,High Barnet,5.0,1.0,0.0
122,51.5009,-0.1925,High Street Kensington,1.0,2.0,0.0
123,51.546,-0.104,Highbury & Islington,2.0,1.0,1.0
124,51.5777,-0.1458,Highgate,3.0,1.0,0.0
125,51.5538,-0.4499,Hillingdon,6.0,2.0,0.0
126,51.5174,-0.12,Holborn,1.0,2.0,0.0
127,51.5075,-0.206,Holland Park,2.0,1.0,0.0
128,51.5526,-0.1132,Holloway Road,2.0,1.0,0.0
129,51.5539,0.2184,Hornchurch,6.0,1.0,0.0
130,51.4713,-0.3665,Hounslow Central,4.0,1.0,0.0
131,51.4733,-0.3564,Hounslow East,4.0,1.0,0.0
132,51.4734,-0.3855,Hounslow West,5.0,1.0,0.0
133,51.5027,-0.1527,Hyde Park Corner,1.0,1.0,0.0
134,51.5619,-0.4421,Ickenham,6.0,2.0,0.0
135,51.4871,-0.0101,Island Gardens,2.0,1.0,0.0
136,51.4884,-0.1053,Kennington,2.0,1.0,0.0
137,51.5304,-0.225,Kensal Green,2.0,1.0,0.0
138,51.4983,-0.2106,Kensington (Olympia),2.0,1.0,1.0
139,51.5507,-0.1402,Kentish Town,2.0,1.0,1.0
140,51.5816,-0.3162,Kenton,4.0,1.0,0.0
141,51.477,-0.285,Kew Gardens,3.5,1.0,0.0
142,51.5471,-0.2047,Kilburn,2.0,1.0,0.0
143,51.5351,-0.1939,Kilburn Park,2.0,1.0,0.0
144,51.5846,-0.2786,Kingsbury,4.0,1.0,0.0
145,51.5308,-0.1238,King's Cross St. Pancras,1.0,6.0,1.0
146,51.5015,-0.1607,Knightsbridge,1.0,1.0,0.0
147,51.5172,-0.2107,Ladbroke Grove,2.0,1.0,0.0
148,51.4991,-0.1115,Lambeth North,1.0,1.0,0.0
149,51.5119,-0.1756,Lancaster Gate,1.0,1.0,0.0
150,51.5139,-0.2172,Latimer Road,2.0,1.0,0.0
151,51.5113,-0.1281,Leicester Square,1.0,2.0,0.0
152,51.4657,-0.0142,Lewisham,2.5,1.0,1.0
153,51.5566,-0.0053,Leyton,3.0,1.0,0.0
154,51.5683,0.0083,Leytonstone,3.5,1.0,0.0
155,51.5123,-0.0396,Limehouse,2.0,1.0,1.0
156,51.5178,-0.0823,Liverpool Street,1.0,4.0,1.0
157,51.5052,-0.0864,London Bridge,1.0,2.0,1.0
158,51.6412,0.0558,Loughton,6.0,1.0,0.0
159,51.53,-0.1854,Maida Vale,2.0,1.0,0.0
160,51.5712,-0.0958,Manor House,2.5,1.0,0.0
161,51.5122,-0.094,Mansion House,1.0,2.0,0.0
162,51.5136,-0.1586,Marble Arch,1.0,1.0,0.0
163,51.5225,-0.1631,Marylebone,1.0,1.0,1.0
164,51.5249,-0.0332,Mile End,2.0,3.0,0.0
165,51.6082,-0.2103,Mill Hill East,4.0,1.0,0.0
166,51.5108,-0.0863,Monument,1.0,2.0,0.0
167,51.5186,-0.0886,Moorgate,1.0,4.0,1.0
168,51.6294,-0.432,Moor Park,6.5,1.0,0.0
169,51.4022,-0.1948,Morden,4.0,1.0,0.0
170,51.5342,-0.1387,Mornington Crescent,2.0,1.0,0.0
171,51.4902,-0.0145,Mudchute,2.0,1.0,0.0
172,51.5542,-0.2503,Neasden,3.0,1.0,0.0
173,51.5756,0.0899,Newbury Park,4.0,1.0,0.0
174,51.4767,-0.0327,New Cross,2.0,1.0,1.0
175,51.4757,-0.0402,New Cross Gate,2.0,1.0,1.0
176,51.4995,-0.3142,Northfields,3.0,1.0,0.0
177,51.5483,-0.3687,Northolt,5.0,1.0,0.0
178,51.5784,-0.3184,Northwick Park,4.0,1.0,0.0
179,51.6111,-0.424,Northwood,6.0,1.0,0.0
180,51.6004,-0.4092,Northwood Hills,6.0,1.0,0.0
181,51.5237,-0.2597,North Acton,2.5,1.0,0.0
182,51.5175,-0.2887,North Ealing,3.0,1.0,0.0
183,51.5005,0.0039,North Greenwich,2.5,1.0,0.0
184,51.5846,-0.3626,North Harrow,5.0,1.0,0.0
185,51.5621,-0.3034,North Wembley,4.0,1.0,0.0
186,51.5094,-0.1967,Notting Hill Gate,1.5,3.0,0.0
187,51.6476,-0.1318,Oakwood,5.0,1.0,0.0
188,51.5263,-0.0873,Old Street,1.0,1.0,1.0
190,51.4813,-0.3522,Osterley,4.0,1.0,0.0
191,51.4819,-0.113,Oval,2.0,1.0,0.0
192,51.515,-0.1415,Oxford Circus,1.0,3.0,0.0
193,51.5154,-0.1755,Paddington,1.0,4.0,1.0
194,51.527,-0.2841,Park Royal,3.0,1.0,0.0
195,51.4753,-0.2011,Parsons Green,2.0,1.0,0.0
196,51.5366,-0.3232,Perivale,4.0,1.0,0.0
197,51.5098,-0.1342,Picadilly Circus,1.0,2.0,0.0
198,51.4893,-0.1334,Pimlico,1.0,1.0,0.0
199,51.5926,-0.3805,Pinner,5.0,1.0,0.0
200,51.5313,0.0172,Plaistow,3.0,2.0,0.0
201,51.5077,-0.0173,Poplar,2.0,1.0,0.0
202,51.572,-0.2954,Preston Road,4.0,1.0,0.0
203,51.5093,0.0336,Prince Regent,3.0,1.0,0.0
204,51.5343,-0.0139,Pudding Mill Lane,2.5,1.0,0.0
205,51.4682,-0.2089,Putney Bridge,2.0,1.0,0.0
206,51.5341,-0.2047,Queen's Park,2.0,1.0,1.0
207,51.5942,-0.2861,Queensbury,4.0,1.0,0.0
208,51.5107,-0.1877,Queensway,1.0,1.0,0.0
209,51.4942,-0.2359,Ravenscourt Park,2.0,1.0,0.0
210,51.5753,-0.3714,Rayners Lane,5.0,2.0,0.0
211,51.5763,0.0454,Redbridge,4.0,1.0,0.0
212,51.5234,-0.1466,Regent's Park,1.0,1.0,0.0
213,51.4633,-0.3013,Richmond,4.0,1.0,1.0
214,51.6404,-0.4733,Rickmansworth,7.0,1.0,0.0
215,51.6171,0.0439,Roding Valley,5.0,1.0,0.0
216,51.501,-0.0525,Rotherhithe,2.0,1.0,0.0
217,51.5084,0.0465,Royal Albert,3.0,1.0,0.0
218,51.519,-0.188,Royal Oak,2.0,1.0,0.0
219,51.5091,0.0181,Royal Victoria,3.0,1.0,0.0
220,51.5715,-0.4213,Ruislip,6.0,2.0,0.0
221,51.5606,-0.4103,Ruislip Gardens,5.0,1.0,0.0
222,51.5732,-0.4125,Ruislip Manor,6.0,2.0,0.0
223,51.523,-0.1244,Russell Square,1.0,1.0,0.0
224,51.5822,-0.0749,Seven Sisters,3.0,1.0,1.0
225,51.5117,-0.056,Shadwell,2.0,2.0,0.0
226,51.5046,-0.2187,Shepherd's Bush (C),2.0,1.0,0.0
227,51.5058,-0.2265,Shepherd's Bush (H),2.0,1.0,0.0
228,51.5227,-0.0708,Shoreditch,2.0,1.0,0.0
229,51.4924,-0.1565,Sloane Square,1.0,2.0,0.0
230,51.5808,0.0216,Snaresbrook,4.0,1.0,0.0
231,51.4454,-0.2066,Southfields,3.0,1.0,0.0
232,51.6322,-0.128,Southgate,4.0,1.0,0.0
233,51.501,-0.1052,Southwark,1.0,1.0,0.0
234,51.5011,-0.3072,South Ealing,3.0,1.0,0.0
235,51.5646,-0.3521,South Harrow,5.0,1.0,0.0
236,51.4941,-0.1738,South Kensington,1.0,3.0,0.0
237,51.5701,-0.3081,South Kenton,4.0,1.0,0.0
238,51.5007,-0.0191,South Quay,2.0,1.0,0.0
239,51.5569,-0.3988,South Ruislip,5.0,1.0,1.0
240,51.4154,-0.1919,South Wimbledon,3.5,1.0,0.0
241,51.5917,0.0275,South Woodford,4.0,1.0,0.0
242,51.495,-0.2459,Stamford Brook,2.0,1.0,0.0
243,51.6194,-0.3028,Stanmore,5.0,1.0,0.0
244,51.5221,-0.047,Stepney Green,2.0,2.0,0.0
245,51.4723,-0.123,Stockwell,2.0,2.0,0.0
246,51.5439,-0.2759,Stonebridge Park,3.0,1.0,0.0
247,51.5416,-0.0042,Stratford,3.0,3.0,1.0
248,51.4994,-0.1335,St. James's Park,1.0,2.0,0.0
249,51.5347,-0.174,St. John's Wood,2.0,1.0,0.0
250,51.5146,-0.0973,St. Paul's,1.0,1.0,0.0
251,51.5569,-0.3366,Sudbury Hill,4.0,1.0,0.0
252,51.5507,-0.3156,Sudbury Town,4.0,1.0,0.0
253,51.4933,-0.0478,Surrey Quays,2.0,1.0,0.0
254,51.5432,-0.1738,Swiss Cottage,2.0,2.0,0.0
255,51.5111,-0.1141,Temple,1.0,2.0,0.0
256,51.6717,0.1033,Theydon Bois,6.0,1.0,0.0
257,51.4361,-0.1598,Tooting Bec,3.0,1.0,0.0
258,51.4275,-0.168,Tooting Broadway,3.0,1.0,0.0
259,51.5165,-0.131,Tottenham Court Road,1.0,2.0,0.0
260,51.5882,-0.0594,Tottenham Hale,3.0,1.0,1.0
261,51.6302,-0.1791,Totteridge & Whetstone,4.0,1.0,0.0
262,51.5106,-0.0743,Tower Gateway,1.0,1.0,0.0
263,51.5098,-0.0766,Tower Hill,1.0,2.0,0.0
264,51.5567,-0.1374,Tufnell Park,2.0,1.0,0.0
265,51.4951,-0.2547,Turnham Green,2.5,2.0,0.0
266,51.5904,-0.1028,Turnpike Lane,3.0,1.0,0.0
267,51.559,0.251,Upminster,6.0,1.0,1.0
268,51.5582,0.2343,Upminster Bridge,6.0,1.0,0.0
269,51.5385,0.1014,Upney,4.0,1.0,0.0
270,51.5352,0.0343,Upton Park,3.0,2.0,0.0
271,51.5463,-0.4786,Uxbridge,6.0,2.0,0.0
272,51.4861,-0.1253,Vauxhall,1.5,1.0,1.0
273,51.4965,-0.1447,Victoria,1.0,3.0,1.0
274,51.583,-0.0195,Walthamstow Central,3.0,1.0,1.0
275,51.5775,0.0288,Wanstead,4.0,1.0,0.0
276,51.5043,-0.0558,Wapping,2.0,1.0,0.0
277,51.5247,-0.1384,Warren Street,1.0,2.0,0.0
278,51.5235,-0.1835,Warwick Avenue,2.0,1.0,0.0
279,51.5036,-0.1143,Waterloo,1.0,4.0,1.0
280,51.6573,-0.4177,Watford,8.0,1.0,0.0
281,51.5519,-0.2963,Wembley Central,4.0,1.0,1.0
282,51.5635,-0.2795,Wembley Park,4.0,2.0,0.0
283,51.521,-0.2011,Westbourne Park,2.0,1.0,0.0
284,51.5097,-0.0265,Westferry,2.0,1.0,0.0
285,51.501,-0.1254,Westminster,1.0,3.0,0.0
286,51.518,-0.2809,West Acton,3.0,1.0,0.0
287,51.4872,-0.1953,West Brompton,2.0,1.0,1.0
288,51.6095,-0.1883,West Finchley,4.0,1.0,0.0
289,51.5287,0.0056,West Ham,3.0,3.0,1.0
290,51.5469,-0.1906,West Hampstead,2.0,1.0,1.0
291,51.5795,-0.3533,West Harrow,5.0,1.0,0.0
292,51.507,-0.0203,West India Quay,2.0,1.0,0.0
293,51.4907,-0.2065,West Kensington,2.0,1.0,0.0
294,51.5696,-0.4376,West Ruislip,6.0,1.0,1.0
295,51.5194,-0.0612,Whitechapel,2.0,3.0,0.0
296,51.512,-0.2239,White City,2.0,1.0,0.0
297,51.5492,-0.2215,Willesden Green,2.5,1.0,0.0
298,51.5326,-0.2478,Willesden Junction,3.0,1.0,1.0
299,51.4214,-0.2064,Wimbledon,3.0,1.0,1.0
300,51.4343,-0.1992,Wimbledon Park,3.0,1.0,0.0
301,51.607,0.0341,Woodford,4.0,1.0,0.0
302,51.6179,-0.1856,Woodside Park,4.0,1.0,0.0
303,51.5975,-0.1097,Wood Green,3.0,1.0,0.0
304,51.49130909090909,0.12123272727272728,Abbey Wood,4,,
305,51.491890000000005,0.07061333333333333,Woolwich,4,,
306,,,Custom House,,,
307,51.50495260869565,-0.019423478260869563,Canary Wharf,2,,
308,51.51955,-0.05989266666666667,Whitechapel,2,,
309,51.51771,-0.08195541666666667,Liverpool Street,1,,
310,51.52033454545455,-0.10453454545454545,Farringdon,1,,
311,51.51622192307692,-0.13066884615384616,Tottenham Court Road,1,,
312,51.514054074074075,-0.14903925925925923,Bond Street,1,,
313,51.5167103125,-0.176741875,Paddington,1,,
314,51.51707,-0.26787333333333335,Acton Main Line,3,,
315,,,Earling Broadway,,,
316,51.513655,-0.3212625,West Ealing,3,,
317,51.51206666666667,-0.338195,Hanwell,4,,
318,51.50597166666666,-0.37816500000000003,Southall,4,,
319,51.503095,-0.42045166666666667,Hayes & Harlington,5,,
320,51.509885555555556,-0.4722655555555556,West Drayton,6,,
321,51.50851,-0.50661,Iver,Outside,,
322,51.507937272727276,-0.5420927272727273,Langley,Outside,,
323,51.51197625,-0.59138875,Slough,Outside,,
324,51.52339333333333,-0.6462483333333333,Burnham,Outside,,
325,51.523418750000005,-0.68150875,Taplow,Outside,,
326,51.5185375,-0.7225325,Maidenhead,Outside,,
327,51.47546222222222,-0.8632422222222222,Twyford,Outside,,
328,51.458687499999996,-0.9717950000000001,Reading,Outside,,
329,51.503095,-0.42045166666666667,Hayes & Harlington,5,,
330,51.47131769230769,-0.4531776923076923,Heathrow Terminals 2 & 3,6,,
331,,,Heathrow Terminals 4,,,
332,51.47131769230769,-0.4531776923076923,Heathrow Terminals 2 & 3,6,,
333,,,Heathrow Terminals 5,,,
